No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5_1ago,pm2.5_2ago,pm2.5_3ago
39,2010,1,2,14,158,-9,-5,1025,SE,31.73,0,0,164,148,152
40,2010,1,2,15,154,-9,-5,1025,SE,35.75,0,0,158,164,148
41,2010,1,2,16,159,-9,-5,1026,SE,37.54,0,0,154,158,164
42,2010,1,2,17,164,-8,-5,1027,SE,39.33,0,0,159,154,158
43,2010,1,2,18,170,-8,-5,1027,SE,42.46,0,0,164,159,154
44,2010,1,2,19,149,-8,-5,1028,SE,44.25,0,0,170,164,159
45,2010,1,2,20,154,-7,-5,1028,SE,46.04,0,0,149,170,164
46,2010,1,2,21,164,-7,-5,1027,SE,49.17,1,0,154,149,170
47,2010,1,2,22,156,-8,-6,1028,SE,52.3,2,0,164,154,149
48,2010,1,2,23,126,-8,-6,1027,SE,55.43,3,0,156,164,154
49,2010,1,3,0,90,-7,-6,1027,SE,58.56,4,0,126,156,164
50,2010,1,3,1,63,-8,-6,1026,SE,61.69,5,0,90,126,156
51,2010,1,3,2,65,-8,-7,1026,SE,65.71,6,0,63,90,126
52,2010,1,3,3,55,-8,-7,1025,SE,68.84,7,0,65,63,90
53,2010,1,3,4,65,-8,-7,1024,SE,72.86,8,0,55,65,63
54,2010,1,3,5,83,-9,-8,1024,SE,76.88,9,0,65,55,65
55,2010,1,3,6,91,-10,-8,1024,SE,80.9,10,0,83,65,55
56,2010,1,3,7,86,-10,-9,1024,SE,84.92,11,0,91,83,65
57,2010,1,3,8,82,-10,-9,1024,SE,89.84,12,0,86,91,83
58,2010,1,3,9,86,-11,-9,1023,SE,93.86,13,0,82,86,91
59,2010,1,3,10,78,-11,-9,1023,SE,97.88,15,0,86,82,86
60,2010,1,3,11,98,-11,-9,1022,SE,102.8,16,0,78,86,82
61,2010,1,3,12,107,-11,-9,1021,SE,105.93,17,0,98,78,86
62,2010,1,3,13,90,-11,-9,1020,SE,111.74,19,0,107,98,78
63,2010,1,3,14,96,-11,-9,1020,SE,116.66,20,0,90,107,98
64,2010,1,3,15,95,-11,-9,1020,SE,121.58,21,0,96,90,107
65,2010,1,3,16,86,-11,-9,1020,SE,124.71,22,0,95,96,90
66,2010,1,3,17,70,-11,-9,1020,SE,127.84,23,0,86,95,96
67,2010,1,3,18,61,-11,-9,1021,cv,0.89,24,0,70,86,95
68,2010,1,3,19,53,-11,-9,1022,cv,1.78,25,0,61,70,86
69,2010,1,3,20,71,-10,-9,1022,NW,4.02,26,0,53,61,70
70,2010,1,3,21,72,-11,-10,1023,NW,7.15,27,0,71,53,61
71,2010,1,3,22,76,-11,-9,1023,NW,11.17,0,0,72,71,53
72,2010,1,3,23,73,-12,-11,1023,NW,14.3,0,0,76,72,71
73,2010,1,4,0,79,-14,-12,1023,NW,16.09,0,0,73,76,72
74,2010,1,4,1,58,-16,-9,1023,NW,21.9,0,0,79,73,76
75,2010,1,4,2,25,-17,-10,1024,NW,29.95,0,0,58,79,73
76,2010,1,4,3,26,-18,-11,1024,NW,39.78,0,0,25,58,79
77,2010,1,4,4,28,-19,-11,1025,NW,48.72,0,0,26,25,58
78,2010,1,4,5,26,-20,-12,1026,NW,55.87,0,0,28,26,25
79,2010,1,4,6,20,-21,-12,1027,NW,64.81,0,0,26,28,26
80,2010,1,4,7,29,-21,-13,1027,NW,73.75,0,0,20,26,28
81,2010,1,4,8,26,-22,-13,1028,NW,80.9,0,0,29,20,26
82,2010,1,4,9,27,-22,-13,1029,NW,90.73,0,0,26,29,20
83,2010,1,4,10,27,-22,-12,1030,NW,100.56,0,0,27,26,29
84,2010,1,4,11,25,-23,-12,1031,NW,108.61,0,0,27,27,26
85,2010,1,4,12,29,-21,-11,1030,NW,117.55,0,0,25,27,27
86,2010,1,4,13,32,-20,-10,1030,NW,127.38,0,0,29,25,27
87,2010,1,4,14,28,-21,-10,1030,NW,136.32,0,0,32,29,25
88,2010,1,4,15,29,-21,-9,1030,NW,145.26,0,0,28,32,29
89,2010,1,4,16,30,-21,-9,1031,NW,152.41,0,0,29,28,32
90,2010,1,4,17,30,-20,-11,1032,NW,159.56,0,0,30,29,28
91,2010,1,4,18,28,-23,-11,1032,NW,165.37,0,0,30,30,29
92,2010,1,4,19,26,-21,-12,1033,NW,171.18,0,0,28,30,30
93,2010,1,4,20,31,-24,-12,1034,NW,180.12,0,0,26,28,30
94,2010,1,4,21,33,-24,-13,1034,NW,187.27,0,0,31,26,28
95,2010,1,4,22,29,-24,-13,1035,NW,195.32,0,0,33,31,26
96,2010,1,4,23,31,-26,-15,1035,NW,198.45,0,0,29,33,31
97,2010,1,5,0,30,-26,-17,1035,NW,201.58,0,0,31,29,33
98,2010,1,5,1,34,-26,-18,1035,NW,205.6,0,0,30,31,29
99,2010,1,5,2,27,-26,-19,1035,NW,208.73,0,0,34,30,31
100,2010,1,5,3,25,-27,-18,1035,NW,213.65,0,0,27,34,30
101,2010,1,5,4,28,-27,-19,1035,NW,218.57,0,0,25,27,34
102,2010,1,5,5,28,-27,-16,1034,NE,4.92,0,0,28,25,27
103,2010,1,5,6,27,-26,-16,1035,NE,8.05,0,0,28,28,25
104,2010,1,5,7,27,-27,-16,1034,NE,13.86,0,0,27,28,28
105,2010,1,5,8,27,-26,-16,1035,NE,18.78,0,0,27,27,28
106,2010,1,5,9,29,-26,-15,1035,NE,24.59,0,0,27,27,27
107,2010,1,5,10,36,-25,-14,1035,NE,29.51,0,0,29,27,27
108,2010,1,5,11,30,-25,-13,1035,NE,34.43,0,0,36,29,27
109,2010,1,5,12,27,-25,-12,1034,NE,39.35,0,0,30,36,29
110,2010,1,5,13,39,-24,-11,1032,NE,41.14,0,0,27,30,36
111,2010,1,5,14,41,-22,-11,1032,cv,0.89,0,0,39,27,30
112,2010,1,5,15,33,-23,-11,1031,NW,1.79,0,0,41,39,27
113,2010,1,5,16,50,-24,-11,1031,NW,3.58,0,0,33,41,39
114,2010,1,5,17,56,-23,-11,1031,NW,5.37,0,0,50,33,41
115,2010,1,5,18,59,-23,-11,1032,NW,7.16,0,0,56,50,33
116,2010,1,5,19,60,-22,-13,1033,NW,10.29,0,0,59,56,50
117,2010,1,5,20,84,-22,-12,1033,NW,13.42,0,0,60,59,56
118,2010,1,5,21,106,-24,-18,1033,NW,16.55,0,0,84,60,59
119,2010,1,5,22,66,-22,-13,1034,NW,20.57,0,0,106,84,60
120,2010,1,5,23,50,-22,-16,1033,NW,23.7,0,0,66,106,84
121,2010,1,6,0,56,-25,-17,1033,NW,26.83,0,0,50,66,106
122,2010,1,6,1,77,-25,-14,1033,NE,4.02,0,0,56,50,66
123,2010,1,6,2,50,-26,-14,1034,NE,8.04,0,0,77,56,50
124,2010,1,6,3,44,-26,-14,1033,NE,13.85,0,0,50,77,56
125,2010,1,6,4,27,-26,-14,1033,NE,17.87,0,0,44,50,77
126,2010,1,6,5,28,-26,-14,1033,NE,23.68,0,0,27,44,50
127,2010,1,6,6,21,-26,-14,1033,NE,28.6,0,0,28,27,44
128,2010,1,6,7,25,-26,-15,1034,NE,33.52,0,0,21,28,27
129,2010,1,6,8,20,-26,-14,1034,NE,39.33,0,0,25,21,28
130,2010,1,6,9,29,-25,-13,1035,NE,44.25,0,0,20,25,21
131,2010,1,6,10,34,-25,-12,1035,NE,50.06,0,0,29,20,25
132,2010,1,6,11,42,-24,-11,1035,NE,54.98,0,0,34,29,20
133,2010,1,6,12,28,-24,-10,1034,NE,59,0,0,42,34,29
134,2010,1,6,13,36,-22,-10,1033,NW,4.02,0,0,28,42,34
135,2010,1,6,14,48,-22,-9,1033,NW,5.81,0,0,36,28,42
136,2010,1,6,15,49,-22,-8,1033,cv,0.89,0,0,48,36,28
137,2010,1,6,16,52,-22,-8,1033,NW,1.79,0,0,49,48,36
138,2010,1,6,17,56,-21,-9,1033,NW,3.58,0,0,52,49,48
139,2010,1,6,18,96,-22,-9,1033,NW,5.37,0,0,56,52,49
140,2010,1,6,19,75,-22,-14,1034,cv,0.89,0,0,96,56,52
141,2010,1,6,20,105,-22,-12,1035,NW,1.79,0,0,75,96,56
142,2010,1,6,21,132,-21,-14,1034,NW,3.58,0,0,105,75,96
143,2010,1,6,22,93,-22,-16,1035,NW,5.37,0,0,132,105,75
144,2010,1,6,23,131,-21,-16,1035,NW,7.16,0,0,93,132,105
145,2010,1,7,0,127,-21,-16,1035,NW,8.95,0,0,131,93,132
146,2010,1,7,1,130,-21,-16,1035,cv,0.45,0,0,127,131,93
147,2010,1,7,2,43,-22,-18,1036,cv,1.34,0,0,130,127,131
148,2010,1,7,3,37,-23,-15,1036,NW,4.02,0,0,43,130,127
149,2010,1,7,4,30,-24,-16,1035,NW,7.15,0,0,37,43,130
150,2010,1,7,5,28,-25,-15,1035,NW,10.28,0,0,30,37,43
151,2010,1,7,6,24,-24,-15,1035,NW,14.3,0,0,28,30,37
152,2010,1,7,7,23,-25,-13,1036,NE,4.92,0,0,24,28,30
153,2010,1,7,8,24,-24,-14,1036,NW,4.02,0,0,23,24,28
154,2010,1,7,9,27,-23,-12,1036,NW,8.94,0,0,24,23,24
155,2010,1,7,10,40,-22,-11,1036,NW,12.96,0,0,27,24,23
156,2010,1,7,11,42,-20,-10,1036,NW,16.09,0,0,40,27,24
157,2010,1,7,12,42,-21,-9,1035,NW,19.22,0,0,42,40,27
158,2010,1,7,13,55,-21,-8,1034,NW,21.01,0,0,42,42,40
159,2010,1,7,14,52,-20,-7,1033,NW,22.8,0,0,55,42,42
160,2010,1,7,15,51,-20,-7,1032,NW,24.59,0,0,52,55,42
161,2010,1,7,16,57,-18,-8,1032,NW,26.38,0,0,51,52,55
162,2010,1,7,17,50,-19,-9,1032,NW,28.17,0,0,57,51,52
163,2010,1,7,18,54,-19,-11,1032,NE,0.89,0,0,50,57,51
164,2010,1,7,19,67,-18,-11,1033,NW,1.79,0,0,54,50,57
165,2010,1,7,20,106,-19,-15,1032,NE,1.79,0,0,67,54,50
166,2010,1,7,21,159,-19,-14,1032,cv,0.45,0,0,106,67,54
167,2010,1,7,22,198,-21,-14,1032,cv,1.34,0,0,159,106,67
168,2010,1,7,23,190,-21,-16,1032,cv,2.23,0,0,198,159,106
169,2010,1,8,0,210,-21,-17,1031,NW,1.79,0,0,190,198,159
170,2010,1,8,1,195,-19,-16,1031,NW,3.58,0,0,210,190,198
171,2010,1,8,2,275,-20,-16,1031,NE,0.89,0,0,195,210,190
172,2010,1,8,3,164,-19,-15,1030,SE,0.89,0,0,275,195,210
173,2010,1,8,4,110,-18,-15,1030,cv,0.45,0,0,164,275,195
174,2010,1,8,5,100,-18,-15,1029,cv,1.34,0,0,110,164,275
175,2010,1,8,6,81,-18,-15,1029,NW,1.79,0,0,100,110,164
176,2010,1,8,7,71,-16,-13,1029,NE,0.89,0,0,81,100,110
177,2010,1,8,8,66,-16,-12,1029,SE,0.89,0,0,71,81,100
178,2010,1,8,9,92,-16,-12,1030,SE,1.78,0,0,66,71,81
179,2010,1,8,10,135,-17,-10,1030,NE,0.89,0,0,92,66,71
180,2010,1,8,11,155,-16,-10,1029,cv,0.89,0,0,135,92,66
181,2010,1,8,12,198,-16,-9,1028,SE,3.13,0,0,155,135,92
182,2010,1,8,13,250,-15,-8,1026,SE,4.92,0,0,198,155,135
183,2010,1,8,14,200,-16,-8,1026,cv,0.89,0,0,250,198,155
184,2010,1,8,15,231,-16,-8,1025,cv,1.78,0,0,200,250,198
185,2010,1,8,16,250,-16,-8,1025,cv,2.67,0,0,231,200,250
186,2010,1,8,17,212,-17,-8,1025,SE,0.89,0,0,250,231,200
187,2010,1,8,18,219,-17,-9,1026,cv,0.45,0,0,212,250,231
188,2010,1,8,19,227,-17,-11,1026,cv,1.34,0,0,219,212,250
189,2010,1,8,20,226,-17,-12,1026,cv,1.79,0,0,227,219,212
190,2010,1,8,21,225,-18,-14,1027,NW,1.79,0,0,226,227,219
191,2010,1,8,22,168,-16,-9,1027,NW,4.92,0,0,225,226,227
192,2010,1,8,23,169,-16,-11,1027,NW,6.71,0,0,168,225,226
193,2010,1,9,0,165,-17,-13,1027,cv,0.89,0,0,169,168,225
194,2010,1,9,1,159,-17,-13,1027,NW,3.13,0,0,165,169,168
195,2010,1,9,2,167,-17,-14,1027,NW,4.92,0,0,159,165,169
196,2010,1,9,3,196,-17,-15,1027,NW,8.05,0,0,167,159,165
197,2010,1,9,4,169,-17,-13,1027,NW,9.84,0,0,196,167,159
198,2010,1,9,5,155,-19,-16,1027,NW,13.86,0,0,169,196,167
199,2010,1,9,6,119,-18,-15,1027,NW,17.88,0,0,155,169,196
200,2010,1,9,7,106,-19,-15,1027,NW,21.9,0,0,119,155,169
201,2010,1,9,8,93,-18,-14,1028,NW,25.92,0,0,106,119,155
202,2010,1,9,9,84,-18,-9,1029,NE,5.81,0,0,93,106,119
203,2010,1,9,10,73,-17,-7,1029,NE,11.62,0,0,84,93,106
204,2010,1,9,11,66,-17,-6,1030,NE,17.43,0,0,73,84,93
205,2010,1,9,12,40,-16,-6,1029,NE,23.24,0,0,66,73,84
206,2010,1,9,13,49,-16,-5,1029,NE,28.16,0,0,40,66,73
207,2010,1,9,14,50,-15,-4,1029,NE,33.08,0,0,49,40,66
208,2010,1,9,15,49,-14,-4,1028,NE,37.1,0,0,50,49,40
209,2010,1,9,16,41,-15,-4,1029,NE,38.89,0,0,49,50,49
210,2010,1,9,17,37,-15,-4,1030,NW,1.79,0,0,41,49,50
211,2010,1,9,18,45,-15,-7,1030,NE,3.13,0,0,37,41,49
212,2010,1,9,19,44,-15,-6,1031,NW,3.13,0,0,45,37,41
213,2010,1,9,20,54,-15,-7,1032,NW,4.92,0,0,44,45,37
214,2010,1,9,21,50,-15,-6,1032,NE,3.13,0,0,54,44,45
215,2010,1,9,22,47,-15,-8,1033,cv,0.45,0,0,50,54,44
216,2010,1,9,23,66,-15,-8,1033,cv,0.9,0,0,47,50,54
217,2010,1,10,0,75,-15,-11,1033,NW,0.89,0,0,66,47,50
218,2010,1,10,1,82,-17,-13,1033,NW,1.78,0,0,75,66,47
219,2010,1,10,2,66,-17,-12,1033,NW,4.91,0,0,82,75,66
220,2010,1,10,3,83,-17,-13,1033,NW,8.04,0,0,66,82,75
221,2010,1,10,4,62,-19,-14,1032,NW,9.83,0,0,83,66,82
222,2010,1,10,5,40,-18,-13,1032,NW,12.96,0,0,62,83,66
223,2010,1,10,6,23,-19,-13,1032,NW,16.09,0,0,40,62,83
224,2010,1,10,7,25,-19,-14,1033,NW,19.22,0,0,23,40,62
225,2010,1,10,8,27,-19,-14,1034,NW,22.35,0,0,25,23,40
226,2010,1,10,9,35,-17,-12,1033,NW,24.14,0,0,27,25,23
227,2010,1,10,10,50,-16,-7,1033,NE,4.02,0,0,35,27,25
228,2010,1,10,11,70,-15,-7,1033,NW,3.13,0,0,50,35,27
229,2010,1,10,12,75,-15,-7,1032,NW,6.26,0,0,70,50,35
230,2010,1,10,13,58,-14,-6,1031,NW,9.39,0,0,75,70,50
231,2010,1,10,14,70,-14,-6,1031,NW,12.52,0,0,58,75,70
232,2010,1,10,15,68,-13,-5,1030,NW,14.31,0,0,70,58,75
233,2010,1,10,16,71,-14,-5,1031,NW,16.1,0,0,68,70,58
234,2010,1,10,17,88,-14,-6,1031,NW,19.23,0,0,71,68,70
235,2010,1,10,18,84,-13,-7,1032,NW,23.25,0,0,88,71,68
236,2010,1,10,19,83,-15,-6,1032,NW,27.27,0,0,84,88,71
237,2010,1,10,20,66,-15,-6,1033,NW,30.4,0,0,83,84,88
238,2010,1,10,21,27,-15,-4,1034,NW,35.32,0,0,66,83,84
239,2010,1,10,22,24,-16,-4,1034,NW,44.26,0,0,27,66,83
240,2010,1,10,23,22,-17,-5,1035,NW,52.31,0,0,24,27,66
241,2010,1,11,0,23,-17,-6,1035,NW,60.36,0,0,22,24,27
242,2010,1,11,1,27,-17,-8,1035,cv,0.89,0,0,23,22,24
243,2010,1,11,2,23,-19,-11,1036,NW,4.02,0,0,27,23,22
244,2010,1,11,3,17,-20,-11,1036,NW,8.94,0,0,23,27,23
245,2010,1,11,4,17,-21,-11,1035,NE,4.02,0,0,17,23,27
246,2010,1,11,5,16,-22,-12,1035,NW,3.13,0,0,17,17,23
247,2010,1,11,6,16,-22,-12,1035,NE,4.92,0,0,16,17,17
248,2010,1,11,7,20,-22,-13,1036,NW,5.81,0,0,16,16,17
249,2010,1,11,8,20,-22,-9,1036,NW,13.86,0,0,20,16,16
250,2010,1,11,9,18,-22,-10,1036,NW,21.91,0,0,20,20,16
251,2010,1,11,10,25,-22,-9,1036,NW,29.06,0,0,18,20,20
252,2010,1,11,11,26,-21,-9,1036,NW,33.08,0,0,25,18,20
253,2010,1,11,12,27,-20,-6,1035,NW,42.02,0,0,26,25,18
254,2010,1,11,13,28,-19,-5,1034,NW,50.96,0,0,27,26,25
255,2010,1,11,14,15,-19,-5,1033,NW,59.01,0,0,28,27,26
256,2010,1,11,15,24,-20,-5,1033,NW,66.16,0,0,15,28,27
257,2010,1,11,16,13,-20,-5,1032,NW,71.97,0,0,24,15,28
258,2010,1,11,17,13,-20,-5,1033,NW,76.89,0,0,13,24,15
259,2010,1,11,18,13,-20,-7,1033,NW,81.81,0,0,13,13,24
260,2010,1,11,19,17,-22,-7,1033,NW,85.83,0,0,13,13,13
261,2010,1,11,20,20,-22,-8,1033,NW,89.85,0,0,17,13,13
262,2010,1,11,21,27,-23,-10,1033,NW,91.64,0,0,20,17,13
263,2010,1,11,22,20,-23,-13,1033,NW,93.43,0,0,27,20,17
264,2010,1,11,23,15,-22,-12,1032,cv,0.89,0,0,20,27,20
265,2010,1,12,0,21,-22,-15,1031,cv,1.78,0,0,15,20,27
266,2010,1,12,1,21,-22,-14,1031,NE,1.79,0,0,21,15,20
267,2010,1,12,2,37,-22,-14,1031,NW,0.89,0,0,21,21,15
268,2010,1,12,3,26,-24,-18,1030,NE,1.79,0,0,37,21,21
269,2010,1,12,4,15,-24,-13,1030,NE,3.58,0,0,26,37,21
270,2010,1,12,5,9,-25,-14,1030,NW,3.13,0,0,15,26,37
271,2010,1,12,6,11,-24,-14,1030,NW,7.15,0,0,9,15,26
272,2010,1,12,7,11,-25,-12,1030,NW,12.96,0,0,11,9,15
273,2010,1,12,8,16,-26,-14,1030,NW,16.98,0,0,11,11,9
274,2010,1,12,9,13,-25,-12,1031,NW,21,0,0,16,11,11
275,2010,1,12,10,15,-25,-11,1031,NW,26.81,0,0,13,16,11
276,2010,1,12,11,21,-24,-11,1030,NW,35.75,0,0,15,13,16
277,2010,1,12,12,24,-23,-11,1029,NW,47.82,0,0,21,15,13
278,2010,1,12,13,22,-22,-11,1029,NW,63.02,0,0,24,21,15
279,2010,1,12,14,22,-23,-11,1029,NW,75.98,0,0,22,24,21
280,2010,1,12,15,22,-22,-11,1029,NW,88.05,0,0,22,22,24
281,2010,1,12,16,19,-23,-11,1030,NW,101.01,0,0,22,22,22
282,2010,1,12,17,23,-24,-11,1030,NW,109.06,0,0,19,22,22
283,2010,1,12,18,25,-24,-11,1032,NW,118,0,0,23,19,22
284,2010,1,12,19,25,-23,-11,1032,NW,126.05,0,0,25,23,19
285,2010,1,12,20,31,-23,-12,1032,NW,134.1,0,0,25,25,23
286,2010,1,12,21,25,-24,-12,1033,NW,142.15,0,0,31,25,25
287,2010,1,12,22,22,-23,-12,1033,NW,150.2,0,0,25,31,25
288,2010,1,12,23,22,-23,-12,1034,NW,160.03,0,0,22,25,31
289,2010,1,13,0,15,-24,-12,1034,NW,169.86,0,0,22,22,25
290,2010,1,13,1,16,-24,-12,1033,NW,178.8,0,0,15,22,22
291,2010,1,13,2,11,-25,-12,1033,NW,189.98,0,0,16,15,22
292,2010,1,13,3,11,-24,-13,1033,NW,198.03,0,0,11,16,15
293,2010,1,13,4,12,-25,-12,1032,NW,205.18,0,0,11,11,16
294,2010,1,13,5,11,-25,-12,1033,NW,215.01,0,0,12,11,11
295,2010,1,13,6,12,-25,-12,1032,NW,226.19,0,0,11,12,11
296,2010,1,13,7,27,-25,-12,1032,NW,235.13,0,0,12,11,12
297,2010,1,13,8,28,-25,-12,1032,NW,243.18,0,0,27,12,11
298,2010,1,13,9,34,-23,-11,1033,NW,252.12,0,0,28,27,12
299,2010,1,13,10,33,-23,-10,1033,NW,257.93,0,0,34,28,27
300,2010,1,13,11,36,-22,-9,1033,NW,263.74,0,0,33,34,28
301,2010,1,13,12,26,-21,-8,1031,NW,270.89,0,0,36,33,34
302,2010,1,13,13,49,-21,-6,1030,NW,278.94,0,0,26,36,33
303,2010,1,13,14,52,-20,-5,1029,NW,286.99,0,0,49,26,36
304,2010,1,13,15,47,-22,-5,1028,NW,294.14,0,0,52,49,26
305,2010,1,13,16,47,-21,-5,1028,NW,299.06,0,0,47,52,49
306,2010,1,13,17,39,-19,-7,1028,SE,1.79,0,0,47,47,52
307,2010,1,13,18,59,-19,-8,1028,cv,0.45,0,0,39,47,47
308,2010,1,13,19,76,-20,-9,1028,cv,1.34,0,0,59,39,47
309,2010,1,13,20,96,-19,-10,1027,SE,1.79,0,0,76,59,39
310,2010,1,13,21,95,-19,-13,1027,cv,0.89,0,0,96,76,59
311,2010,1,13,22,68,-18,-12,1027,cv,1.78,0,0,95,96,76
312,2010,1,13,23,65,-18,-13,1027,NE,0.89,0,0,68,95,96
313,2010,1,14,0,75,-18,-14,1026,NE,1.78,0,0,65,68,95
314,2010,1,14,1,257,-20,-15,1025,NE,2.67,0,0,75,65,68
315,2010,1,14,2,174,-20,-15,1025,NW,0.89,0,0,257,75,65
316,2010,1,14,3,164,-20,-16,1025,NW,1.78,0,0,174,257,75
317,2010,1,14,4,161,-20,-16,1024,NW,3.57,0,0,164,174,257
318,2010,1,14,5,137,-21,-17,1024,NW,6.7,0,0,161,164,174
319,2010,1,14,6,92,-19,-14,1023,NW,10.72,0,0,137,161,164
320,2010,1,14,7,64,-21,-17,1023,NW,13.85,0,0,92,137,161
321,2010,1,14,8,87,-19,-15,1024,NW,15.64,0,0,64,92,137
322,2010,1,14,9,87,-19,-14,1024,NW,18.77,0,0,87,64,92
323,2010,1,14,10,84,-18,-10,1024,NW,22.79,0,0,87,87,64
324,2010,1,14,11,95,-17,-9,1023,NW,24.58,0,0,84,87,87
325,2010,1,14,12,79,-16,-6,1023,NW,26.37,0,0,95,84,87
326,2010,1,14,13,75,-17,-5,1022,NW,28.16,0,0,79,95,84
327,2010,1,14,14,79,-16,-5,1022,NW,29.95,0,0,75,79,95
328,2010,1,14,15,86,-15,-4,1022,NW,33.08,0,0,79,75,79
329,2010,1,14,16,72,-16,-4,1023,cv,0.89,0,0,86,79,75
330,2010,1,14,17,89,-15,-5,1025,SE,1.79,0,0,72,86,79
331,2010,1,14,18,94,-14,-3,1026,NW,5.81,0,0,89,72,86
332,2010,1,14,19,69,-16,-3,1027,NW,11.62,0,0,94,89,72
333,2010,1,14,20,49,-15,-4,1029,NW,20.56,0,0,69,94,89
334,2010,1,14,21,33,-16,-5,1031,NW,24.58,0,0,49,69,94
335,2010,1,14,22,27,-17,-6,1032,NE,3.13,0,0,33,49,69
336,2010,1,14,23,20,-18,-6,1033,NE,8.05,0,0,27,33,49
337,2010,1,15,0,36,-19,-7,1034,NE,13.86,0,0,20,27,33
338,2010,1,15,1,37,-17,-8,1035,NW,5.81,0,0,36,20,27
339,2010,1,15,2,30,-18,-10,1035,NW,11.62,0,0,37,36,20
340,2010,1,15,3,18,-19,-10,1036,NW,14.75,0,0,30,37,36
341,2010,1,15,4,21,-19,-9,1036,NW,19.67,0,0,18,30,37
342,2010,1,15,5,13,-19,-9,1036,NE,7.15,0,0,21,18,30
343,2010,1,15,6,23,-20,-9,1037,NE,12.96,0,0,13,21,18
344,2010,1,15,7,26,-19,-9,1037,NE,18.77,0,0,23,13,21
345,2010,1,15,8,27,-19,-8,1038,NE,22.79,0,0,26,23,13
346,2010,1,15,9,30,-19,-8,1039,NE,28.6,0,0,27,26,23
347,2010,1,15,10,28,-19,-7,1039,NE,35.75,0,0,30,27,26
348,2010,1,15,11,26,-18,-6,1039,NE,41.56,0,0,28,30,27
349,2010,1,15,12,26,-18,-5,1039,NE,45.58,0,0,26,28,30
350,2010,1,15,13,31,-17,-4,1038,NW,1.79,0,0,26,26,28
351,2010,1,15,14,35,-16,-3,1037,cv,0.89,0,0,31,26,26
352,2010,1,15,15,36,-17,-3,1037,cv,1.78,0,0,35,31,26
